Timestamp,Temperature (C),Humidity (%)
2026-06-20 16:58:41,32.0,53.0,8,9
2026-06-20 16:58:43,32.0,53.0,8,9
2026-06-20 16:58:45,32.0,53.0,8,9
2026-06-20 16:58:47,32.0,53.0,8,9
2026-06-20 16:58:49,32.0,53.0,8,9
2026-06-20 16:58:52,32.0,53.0,8,9
2026-06-20 16:58:54,32.0,53.0,8,9
2026-06-20 16:58:56,32.0,53.0,9,9
2026-06-20 16:58:58,32.0,53.0,9,9
2026-06-20 16:59:00,32.0,53.0,9,9
2026-06-20 16:59:02,32.0,53.0,9,9
2026-06-20 16:59:04,32.0,53.0,9,9
2026-06-20 16:59:06,32.0,53.0,9,9
2026-06-20 16:59:08,32.0,53.0,9,9
2026-06-20 16:59:11,32.0,53.0,9,9
2026-06-20 16:59:13,32.0,53.0,9,9
2026-06-20 16:59:15,32.0,53.0,9,9
2026-06-20 16:59:17,32.0,53.0,8,9
2026-06-20 16:59:19,32.0,53.0,8,9
2026-06-20 16:59:21,32.0,53.0,8,9
2026-06-20 16:59:23,32.0,53.0,8,8
2026-06-20 16:59:25,32.0,53.0,8,8
2026-06-20 16:59:28,32.0,53.0,7,8
2026-06-20 16:59:30,32.0,53.0,7,8
2026-06-20 16:59:32,32.0,53.0,7,8
2026-06-20 16:59:34,32.0,53.0,8,9
2026-06-20 16:59:36,32.0,53.0,8,9
2026-06-20 16:59:38,32.0,53.0,8,9
2026-06-20 16:59:40,32.0,53.0,8,9
2026-06-20 16:59:42,32.0,53.0,8,9
2026-06-20 16:59:45,32.0,53.0,8,9
2026-06-20 16:59:47,32.0,53.0,8,9
2026-06-20 16:59:49,32.0,53.0,8,9
2026-06-20 16:59:51,32.0,54.0,8,9
2026-06-20 16:59:53,32.0,54.0,8,9
2026-06-20 16:59:55,32.0,54.0,8,9
2026-06-20 16:59:57,32.0,54.0,8,9
2026-06-20 17:00:00,32.0,54.0,9,9
2026-06-20 17:00:01,32.0,54.0,9,9
2026-06-20 17:00:04,32.0,53.0,9,9
2026-06-20 17:00:06,32.0,53.0,9,10
2026-06-20 17:00:08,32.0,53.0,9,10
2026-06-20 17:00:10,32.0,53.0,9,10
2026-06-20 17:00:12,32.0,54.0,9,10
2026-06-20 17:00:14,32.0,54.0,9,10
2026-06-20 17:00:16,32.0,54.0,9,10
2026-06-20 17:00:18,32.0,53.0,9,9
2026-06-20 17:00:21,32.0,53.0,9,9
2026-06-20 17:00:23,32.0,53.0,9,9
2026-06-20 17:00:25,32.0,53.0,9,9
2026-06-20 17:00:27,32.0,53.0,9,9
2026-06-20 17:00:29,32.0,53.0,9,9
2026-06-20 17:00:31,32.0,53.0,9,9
2026-06-20 17:00:33,32.0,53.0,8,9
2026-06-20 17:00:35,32.0,53.0,8,9
2026-06-20 17:00:38,32.0,53.0,8,9
2026-06-20 17:00:40,32.0,53.0,8,9
2026-06-20 17:00:42,32.0,53.0,8,9
2026-06-20 17:00:44,32.0,53.0,8,9
2026-06-20 17:00:46,32.0,53.0,8,9
2026-06-20 17:00:48,32.0,53.0,8,9
2026-06-20 17:00:50,32.0,53.0,8,9
2026-06-20 17:00:52,32.0,53.0,9,10
2026-06-20 17:00:54,32.0,53.0,9,10
2026-06-20 17:00:57,32.0,53.0,9,11
2026-06-20 17:00:59,32.0,53.0,10,11
2026-06-20 17:01:01,32.0,53.0,10,11
2026-06-20 17:01:03,32.0,53.0,10,11
2026-06-20 17:01:05,32.0,53.0,9,10
2026-06-20 17:01:07,32.0,53.0,9,10
2026-06-20 17:01:09,32.0,53.0,9,10
2026-06-20 17:01:14,32.0,53.0,9,10
2026-06-20 17:01:14,32.0,53.0,9,10
2026-06-20 17:01:14,32.0,53.0,9,10
2026-06-20 17:01:18,32.0,53.0,9,10
2026-06-20 17:01:18,32.0,53.0,9,10
2026-06-20 17:01:18,32.0,53.0,9,10
2026-06-20 17:01:20,32.0,53.0,9,10
2026-06-20 17:01:22,32.0,53.0,9,10
2026-06-20 17:01:24,32.0,53.0,9,10
2026-06-20 17:01:26,32.0,53.0,9,10
2026-06-20 17:01:28,32.0,53.0,9,10
2026-06-20 17:01:31,32.0,53.0,9,10
2026-06-20 17:01:33,32.0,53.0,9,9
2026-06-20 17:01:35,32.0,53.0,9,9
2026-06-20 17:01:37,32.0,53.0,9,9
2026-06-20 17:01:39,32.0,53.0,9,9
2026-06-20 17:01:41,32.0,53.0,9,9
2026-06-20 17:01:43,32.0,53.0,8,9
2026-06-20 17:01:45,32.0,53.0,9,9
2026-06-20 17:01:47,32.0,53.0,9,9
2026-06-20 17:01:57,32.0,53.0,9,9
2026-06-20 17:02:27,32.0,53.0,9,9
2026-06-20 17:02:27,32.0,53.0,9,9
2026-06-20 17:02:27,32.0,53.0,9,9
2026-06-20 17:02:27,32.0,53.0,9,9
2026-06-20 17:02:39,32.0,53.0,9,9
2026-06-20 17:02:39,32.0,53.0,8,8
2026-06-20 17:02:39,32.0,53.0,8,9
2026-06-20 17:02:39,32.0,53.0,8,9
2026-06-20 17:02:40,32.0,53.0,8,8
2026-06-20 17:02:40,32.0,53.0,8,9
2026-06-20 17:02:40,32.0,53.0,8,9
2026-06-20 17:02:41,32.0,53.0,9,9
2026-06-20 17:02:41,32.0,53.0,9,9
2026-06-20 17:02:41,32.0,53.0,9,9
