Thoi Gian,Nhiet Do (C),Do Am (%),PM2.5 (ug/m3),PM10 (ug/m3)
2026-06-20 18:36:43,34.0,62.0,34,40
2026-06-20 18:36:48,34.0,62.0,34,39
2026-06-20 18:36:53,34.0,62.0,34,40
2026-06-20 18:36:58,34.0,62.0,35,40
2026-06-20 18:37:03,34.0,62.0,35,40
2026-06-20 18:37:08,34.0,62.0,35,40
2026-06-20 18:37:13,34.0,62.0,35,41
2026-06-20 18:37:18,34.0,62.0,34,40
2026-06-20 18:37:23,34.0,62.0,34,40
2026-06-20 18:37:28,34.0,62.0,34,40
2026-06-20 18:37:33,34.0,62.0,34,40
2026-06-20 18:37:38,34.0,63.0,34,40
2026-06-20 18:37:43,34.0,62.0,34,39
2026-06-20 18:37:48,34.0,62.0,34,39
2026-06-20 18:37:53,34.0,63.0,34,39
2026-06-20 18:37:58,34.0,63.0,34,39
2026-06-20 18:38:03,34.0,63.0,33,38
2026-06-20 18:38:08,0.0,0.0,33,37
2026-06-20 18:38:13,34.0,63.0,33,38
2026-06-20 18:38:18,34.0,63.0,33,38
2026-06-20 18:38:23,34.0,63.0,34,40
2026-06-20 18:38:28,34.0,63.0,34,40
2026-06-20 18:38:33,34.0,63.0,34,40
2026-06-20 18:38:38,34.0,63.0,34,40
2026-06-20 18:38:43,34.0,63.0,34,40
2026-06-20 18:38:48,34.0,63.0,34,40
2026-06-20 18:38:53,34.0,63.0,34,40
2026-06-20 18:38:58,34.0,63.0,34,39
2026-06-20 18:39:03,34.0,63.0,34,39
2026-06-20 18:39:08,34.0,63.0,34,39
2026-06-20 18:39:13,34.0,63.0,34,39
2026-06-20 18:39:18,34.0,63.0,34,38
2026-06-20 18:39:23,34.0,63.0,33,38
2026-06-20 18:39:28,34.0,63.0,33,38
2026-06-20 18:39:33,34.0,63.0,33,38
2026-06-20 18:39:38,34.0,63.0,33,38
2026-06-20 18:39:43,34.0,62.0,33,37
2026-06-20 18:39:48,34.0,62.0,33,37
2026-06-20 18:39:53,34.0,62.0,33,37
2026-06-20 18:39:58,34.0,63.0,33,37
2026-06-20 18:40:03,34.0,62.0,34,38
2026-06-20 18:40:08,34.0,62.0,34,38
2026-06-20 18:40:13,34.0,62.0,34,38
2026-06-20 18:40:18,34.0,62.0,34,38
2026-06-20 18:40:23,34.0,62.0,34,38
2026-06-20 18:40:28,34.0,62.0,34,38
2026-06-20 18:40:33,34.0,62.0,33,38
2026-06-20 18:40:38,34.0,62.0,34,39
2026-06-20 18:40:43,34.0,62.0,34,39
2026-06-20 18:40:48,34.0,62.0,34,40
2026-06-20 18:40:53,34.0,62.0,34,40
2026-06-20 18:40:58,34.0,62.0,34,40
2026-06-20 18:41:03,34.0,62.0,34,39
2026-06-20 18:41:08,34.0,62.0,34,39
2026-06-20 18:41:13,34.0,62.0,34,39
2026-06-20 18:41:18,34.0,62.0,33,39
2026-06-20 18:41:23,34.0,62.0,33,39
2026-06-20 18:41:28,34.0,62.0,33,39
2026-06-20 18:41:33,34.0,62.0,33,38
2026-06-20 18:41:38,34.0,62.0,32,38
2026-06-20 18:41:43,34.0,61.0,33,38
2026-06-20 18:41:48,34.0,62.0,33,39
2026-06-20 18:41:53,34.0,62.0,34,40
2026-06-20 18:41:58,34.0,61.0,34,40
2026-06-20 18:42:03,34.0,61.0,34,40
2026-06-20 18:42:08,34.0,61.0,34,40
2026-06-20 18:42:13,34.0,61.0,33,39
2026-06-20 18:42:18,34.0,61.0,33,39
2026-06-20 18:42:23,34.0,61.0,33,39
2026-06-20 18:42:28,0.0,0.0,33,39
2026-06-20 18:42:33,34.0,61.0,33,38
2026-06-20 18:42:38,34.0,61.0,33,38
2026-06-20 18:42:43,34.0,61.0,33,38
2026-06-20 18:42:48,34.0,61.0,32,37
2026-06-20 18:42:53,34.0,61.0,32,37
2026-06-20 18:42:58,34.0,61.0,32,37
2026-06-20 18:43:03,34.0,61.0,32,37
2026-06-20 18:43:08,34.0,61.0,32,37
2026-06-20 18:43:13,34.0,61.0,31,36
2026-06-20 18:43:18,34.0,61.0,31,36
2026-06-20 18:43:23,34.0,61.0,32,36
2026-06-20 18:43:28,34.0,61.0,32,36
2026-06-20 18:43:33,34.0,61.0,31,36
2026-06-20 18:43:38,34.0,61.0,31,35
2026-06-20 18:43:43,34.0,61.0,31,35
2026-06-20 18:43:48,34.0,61.0,31,35
2026-06-20 18:43:53,34.0,61.0,31,35
2026-06-20 18:43:58,34.0,61.0,31,35
2026-06-20 18:44:03,34.0,61.0,31,35
2026-06-20 18:44:08,34.0,61.0,32,37
2026-06-20 18:44:13,34.0,61.0,32,37
2026-06-20 18:44:18,34.0,61.0,32,37
2026-06-20 18:44:23,34.0,61.0,32,38
2026-06-20 18:44:28,34.0,61.0,33,38
2026-06-20 18:44:33,34.0,61.0,33,39
2026-06-20 18:44:38,34.0,61.0,33,39
2026-06-20 18:44:43,34.0,62.0,33,38
2026-06-20 18:44:48,34.0,61.0,33,38
2026-06-20 18:44:53,34.0,61.0,32,38
